ls_id,cluster,classifications,disturbed_weighted_fraction,disturbed_unweighted_fraction,merger_weighted_fraction,merger_unweighted_fraction,tail_weighted_fraction,tail_unweighted_fraction,problem_weighted_fraction,problem_unweighted_fraction,disturbed_weighted_votes,disturbed_unweighted_votes,merger_weighted_votes,merger_unweighted_votes,tail_weighted_votes,tail_unweighted_votes,problem_weighted_votes,problem_unweighted_votes,ra,dec,type,z_spec,z_phot_mean,z_phot_median,z_phot_l95,z_phot_u95,dered_mag_g,mag_g,snr_g,dered_mag_r,mag_r,snr_r,dered_mag_z,mag_z,snr_z,g_r,sersic,shape_r
9906623165759570,NGC 4636,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,193.03864945173925,4.562703647450972,SER,0.024986,0.023679,0.023059,0.018129,0.029505,17.542904,17.668766,506.66625999999997,16.83773,16.922512,576.59924,16.384737,16.432160999999997,555.91327,0.746254,2.205152,2.541401
9906623165760111,NGC 4636,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,193.06491180393613,4.457337137350834,REX,-99.0,0.017375,0.017683,0.005305,0.039641,17.805506,17.936182000000002,207.49919,17.576701999999997,17.664728,132.4513,17.401139999999998,17.450378,66.993965,0.271454,1.0,7.630902000000001
9906623165760479,NGC 4636,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.0849049476221,4.546370857799516,SER,0.064191,0.10668,0.107134,0.0801,0.13454100000000002,17.762901,17.894602,598.98065,16.859396,16.94811,768.0815,16.206232,16.255856,772.5199,0.946491,1.7608009999999998,2.7871330000000003
9906623165760797,NGC 4636,10.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.1,0.1,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,193.10155679234114,4.449618255252494,SER,0.06444,0.052873,0.053114,0.034362,0.06484,16.410172,16.538498,1032.415,15.549668,15.636111,1066.941,14.936263,14.984615,1478.8444,0.902387,4.957739,4.431758
9906623165761095,NGC 4636,10.0,0.8888888888888888,0.8888888888888888,1.0,1.0,0.0,0.0,0.1,0.1,8.0,8.0,8.0,8.0,0.0,0.0,1.0,1.0,193.11539327955362,4.616602913652941,EXP,-99.0,0.14113399999999998,0.10131,0.035483,0.554028,18.795969,18.920918,95.26083,17.921566000000002,18.005733,106.26823,17.384026000000002,17.431105,77.27087,0.915184,1.0,12.872436
9906623165761582,NGC 4636,10.0,0.125,0.125,1.0,1.0,0.0,0.0,0.2,0.2,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,193.1397310147883,4.542152265040852,SER,0.066836,0.057247,0.052925,0.028333999999999998,0.09516799999999999,17.572445000000002,17.704006,730.3687,16.903451999999998,16.992073,804.63574,16.382917000000003,16.432487,749.6060000000001,0.711933,1.381175,2.527392
9906623165763631,NGC 4636,10.0,0.2222222222222222,0.2222222222222222,0.5,0.5,0.0,0.0,0.1,0.1,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,193.2357802854622,4.543481003885437,SER,-99.0,0.049801,0.047560000000000005,0.021365000000000002,0.092115,18.540445000000002,18.668728,248.6249,18.087772,18.174187,219.90376,17.815820000000002,17.864157000000002,131.43892,0.494541,1.4018620000000002,4.578188
9906623165764450,NGC 4636,10.0,0.47368421052631576,0.5,0.0,0.0,0.3333333333333333,0.4,0.0,0.0,4.5,5.0,0.0,0.0,1.5,2.0,0.0,0.0,193.2713663791327,4.508927670369004,SER,0.066197,0.070011,0.069853,0.04543,0.095231,17.213356,17.341911,778.3731700000001,16.604958,16.691554999999997,821.93286,16.149654,16.198093,690.8741,0.650356,1.408676,3.212942
9906623165825541,NGC 4636,10.0,0.4,0.4,0.25,0.25,0.75,0.75,0.0,0.0,4.0,4.0,1.0,1.0,3.0,3.0,0.0,0.0,193.3106965548576,4.463290508434363,SER,-99.0,0.008151,0.007439,0.004676,0.014871,13.097479,13.227012,6608.7495,12.760261999999999,12.847517999999999,6428.2764,12.586598,12.635406,4607.834,0.379494,1.567307,9.816566
9906623165825587,NGC 4636,10.0,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.1,0.1,6.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,193.31300602519119,4.470264173869867,SER,-99.0,0.345194,0.199942,0.018455000000000003,0.9003700000000001,18.709122,18.838936,80.39803,18.123545,18.210989,78.05842,17.826204,17.875116000000002,45.9761,0.627947,0.5,12.572503
9906623165825806,NGC 4636,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.32295089259392,4.403871313343812,SER,0.064858,0.057632,0.054530999999999996,0.033985,0.103626,17.904837,18.030428,428.63092,17.161358,17.245957999999998,502.2942,16.666529,16.71385,501.17715,0.78447,1.530483,2.5087029999999997
9906623165826410,NGC 4636,10.0,0.17647058823529413,0.2222222222222222,0.0,0.0,0.3333333333333333,0.5,0.10526315789473684,0.1,1.5,2.0,0.0,0.0,0.5,1.0,1.0,1.0,193.35123943944222,4.565817119721923,SER,0.047959,0.07209,0.072393,0.044243,0.099979,17.580473,17.712694,532.6033,16.888102,16.977167,603.8742,16.40547,16.455288,643.7613,0.735527,4.546593,2.037707
9906623165827635,NGC 4636,11.0,0.375,0.375,1.0,1.0,0.0,0.0,0.2727272727272727,0.2727272727272727,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,193.41936887984352,4.618449272642409,SER,0.242658,0.232256,0.23188,0.221691,0.243847,18.05218,18.178312,351.2134,16.679089,16.764051,610.1113,15.923713,15.971238,651.60297,1.414261,3.133472,3.61651
9906623165890618,NGC 4636,10.0,0.1,0.1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,193.53887190883472,4.5209714974220345,SER,0.10871600000000001,0.08482100000000001,0.08694,0.046870999999999996,0.114943,18.169624,18.302092000000002,248.09342999999998,17.480455,17.569689,253.7349,16.958996,17.008907,218.25777000000002,0.732403,0.738576,4.286531
9906623165956201,NGC 4636,10.0,0.375,0.375,0.0,0.0,0.3333333333333333,0.3333333333333333,0.2,0.2,3.0,3.0,0.0,0.0,1.0,1.0,2.0,2.0,193.79192035464385,4.59129127075375,SER,0.039749,0.037887,0.037783,0.024998,0.050776999999999996,16.780664,16.895504000000003,1085.8105,16.442856,16.520214000000003,969.5412,16.25129,16.29456,680.0642,0.37529,1.283547,2.544436
9906623165957472,NGC 4636,10.0,0.1111111111111111,0.1111111111111111,1.0,1.0,0.0,0.0,0.1,0.1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,193.84213650087293,4.518488626426565,SER,-99.0,0.141593,0.147195,0.094178,0.18745799999999999,18.37036,18.493385,514.2781,17.863367,17.946241,499.94516,17.436483,17.48284,388.1379,0.547144,0.5,2.212169
9906623165957673,NGC 4636,10.0,0.2,0.2,0.5,0.5,0.5,0.5,0.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,193.8509258231546,4.379183268434498,REX,-99.0,0.175556,0.171756,0.112972,0.249665,18.491838,18.60512,238.66563,17.556793,17.633101999999997,324.85458,16.954207999999998,16.996891,279.56424,0.972017,1.0,3.4384669999999997
9906623166024890,NGC 4636,10.0,0.125,0.125,1.0,1.0,0.0,0.0,0.2,0.2,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,194.1671682328973,4.596568788662264,SER,0.232903,0.252225,0.251972,0.236483,0.268765,18.268892,18.374088,342.42136,16.8383,16.909163,618.72504,16.083954,16.12359,718.5928,1.464926,4.783566,4.132628
9906623166025519,NGC 4636,10.0,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.0,0.3,0.3,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,194.19605797767014,4.451718753168231,REX,-99.0,0.10926300000000001,0.109083,0.07862000000000001,0.139435,18.546932,18.653751,323.85345,18.031576,18.10353,285.85526,17.653692000000003,17.693941,208.11452,0.5502199999999999,1.0,2.3323009999999997
9906623172577454,MKW 8,10.0,0.5789473684210527,0.6,0.18181818181818182,0.16666666666666666,0.6363636363636364,0.6666666666666666,0.0,0.0,5.5,6.0,1.0,1.0,3.5,4.0,0.0,0.0,219.2155013430405,4.3772064489520135,SER,-99.0,0.11408900000000001,0.11251300000000002,0.05628300000000001,0.160281,18.429695000000002,18.548157,240.00351,17.907004999999998,17.986803,164.43005,17.513899,17.558535,191.2599,0.561354,1.361607,3.555029
9906623172577462,MKW 8,10.0,0.2222222222222222,0.2222222222222222,0.0,0.0,0.0,0.0,0.1,0.1,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,219.21595039780385,4.3934008862445975,SER,0.10786,0.111121,0.12263299999999999,0.032225,0.17493699999999998,18.142946,18.261057,322.61508,17.399261,17.478823000000002,231.9523,16.8372,16.881702,347.68195,0.782234,0.742501,3.9870389999999998
9906623172641129,MKW 8,10.0,0.3,0.3,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,219.3719632808852,4.458556891003279,SER,-99.0,0.085802,0.08213999999999999,0.055642,0.124177,18.057686,18.19012,409.8225,17.509361,17.598572,410.51403999999997,17.114276999999998,17.164177,333.04343,0.591549,1.529454,3.696357
9906623172642036,MKW 8,10.0,0.125,0.125,1.0,1.0,0.0,0.0,0.2,0.2,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,219.40742052388558,4.425610169762255,SER,0.085561,0.093807,0.0943,0.072535,0.112047,17.30662,17.443598,661.2991,16.396175,16.488447,1011.8757,15.717257,15.768868,1036.0254,0.955151,2.505998,3.397312
9906623172643729,MKW 8,10.0,0.375,0.375,0.0,0.0,0.6666666666666666,0.6666666666666666,0.2,0.2,3.0,3.0,0.0,0.0,2.0,2.0,2.0,2.0,219.47599600563308,4.427924741068344,SER,0.085921,0.088604,0.08949800000000001,0.048823000000000005,0.117744,17.713524,17.852884,484.82446,16.870182,16.964056,719.24786,16.194336,16.246845,702.6091,0.8888280000000001,1.959971,5.247886
9906623172644075,MKW 8,10.0,0.1,0.1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,219.49220258945832,4.509491893663665,SER,-99.0,0.087906,0.08689,0.059605,0.125589,18.42297,18.56264,307.49282999999997,17.849241,17.943325,326.7247,17.377914,17.430542000000003,280.75534,0.619314,1.553874,4.885686
